province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
湖南,22,2019,0.4793938943059051,-0.7352326931791343,1.0542004955554691,0.0527826555161395,0.5745,313.503305004721,5.7478099022972176,9.14,6471.8,229.0,8.3792,44.8,10.5548,6405.1
湖南,22,2020,0.513185022213993,-0.6671188317522988,1.2425885208147414,0.21719672056739725,0.587652927633064,313.753541076487,5.748607776681864,10.2,6589.0,223.7,8.3005,45.2,10.145,7512.0
甘肃,23,2016,0.23570564586536058,-1.4451715157191256,1.0,0.0,0.460718253968254,59.1688189715896,4.080394696570347,11.59,1903.9,93.4,19.5092,44.2,6.9915,1778.0
甘肃,23,2017,0.256285813906953,-1.3614619967071508,0.9579663082604349,-0.04294267046015802,0.481213322759714,59.2157783517258,4.081188032589743,11.72,2018.6,84.5,17.2188,45.5,5.1995,1559.6
甘肃,23,2018,0.2790353983356133,-1.276416629453933,1.028836902880858,0.028428943687671758,0.496914512922465,59.0514205212491,4.078408598598717,11.43,2102.8,83.2,16.1272,40.8,4.2864,1659.4
甘肃,23,2019,0.3379444330143361,-1.0848737963800448,1.190791042410193,0.17461782780182716,0.507002789956158,58.9105423808406,4.076020062431301,12.15,2174.0,80.9,15.2253,39.1,4.1938,1887.6
甘肃,23,2020,0.3482241346101278,-1.054908941556861,1.3199915778475113,0.2776253561593725,0.522405429292424,58.7111998121625,4.072630506116,13.23,2289.5,80.4,15.2956,36.1,4.0312,2103.6
福建,24,2016,0.3884767590135889,-0.9455219333227081,1.0,0.0,0.643924302788845,323.870967741935,5.780345188760572,7.2,1269.1,123.8,6.2424,86.3,5.5387,4155.7
福建,24,2017,0.44071035164301436,-0.8193674183176745,0.9878701995059368,-0.012203966883268224,0.657810578105781,327.822580645161,5.792472549370919,6.6,1232.4,116.3,6.2415,83.6,5.2167,3947.2
福建,24,2018,0.48940108514818736,-0.7145729106728214,1.085223054599555,0.08178554613978112,0.669834307992203,330.967741935484,5.802020914239614,6.1,1228.3,110.7,6.0002,82.4,4.9143,4229.5
福建,24,2019,0.5014534184353356,-0.6902445603700779,1.212307393536187,0.19252548051958923,0.678704375151076,333.629032258065,5.810029693850422,6.1,1237.7,106.3,5.8507,81.2,4.5477,4636.6
福建,24,2020,0.5068457714565903,-0.6795485199791181,1.3195385151870385,0.27728206576376924,0.687427909569764,335.6,5.815919974593051,6.26,1260.2,100.8,5.1824,78.4,4.3163,4901.1
西藏,25,2016,0.16956469762150972,-1.7745207281072923,1.0,0.0,0.315690425782169,2.76847932269619,1.018298188477913,9.42,635.1,5.9,0.1784,6.2,0.1091,173.0
